Designator,Mid X,Mid Y,Rotation,Layer
C1,163.575,-116.575,180.0,top
C10,158.03,-120.43,0.0,bottom
C11,157.475,-124.4,90.0,top
C12,160.7,-125.275,180.0,bottom
C13,157.8,-110.475,180.0,bottom
C14,156.6672,-111.252,270.0,top
C15,158.496,-111.252,270.0,top
C16,160.3248,-111.252,270.0,top
C17,162.1536,-111.252,270.0,top
C18,163.9824,-111.252,270.0,top
C19,165.8112,-111.252,270.0,top
C2,159.85,-123.05,90.0,bottom
C20,167.64,-111.252,270.0,top
C21,161.671,-116.7892,90.0,top
C22,170.9166,-119.55,90.0,top
C23,163.83,-117.9576,90.0,top
C3,162.0,-122.54,90.0,bottom
C4,167.975,-122.025,90.0,bottom
C5,160.8074,-120.3706,90.0,top
C6,158.92,-115.82,0.0,top
C7,163.576,-112.5344,270.0,bottom
C8,160.475,-112.522,270.0,bottom
C9,157.2006,-113.0046,270.0,bottom
D1,167.16,-124.94,90.0,top
D2,170.175,-106.35,270.0,top
D3,170.25,-106.525,90.0,bottom
D4,163.7,-124.73,180.0,bottom
D5,165.1762,-112.5728,270.0,bottom
D6,162.075,-112.75,270.0,bottom
D7,158.9532,-112.8014,270.0,bottom
J4,171.225,-113.95,90.0,top
L1,166.275,-125.025,0.0,bottom
Q1,160.6616,-124.52,0.0,top
Q10,158.75,-107.55,90.0,bottom
Q2,170.225,-109.325,270.0,top
Q3,164.5135,-124.52,0.0,top
Q4,169.475,-111.85,180.0,bottom
Q5,166.8574,-107.55,270.0,top
Q6,166.8453,-107.5612,90.0,bottom
Q7,162.812,-107.549,270.0,top
Q8,162.814,-107.55,90.0,bottom
Q9,158.75,-107.55,270.0,top
R1,160.74,-122.34,0.0,top
R10,165.989,-114.7572,270.0,bottom
R11,165.0,-114.775,270.0,bottom
R12,166.925,-114.9,270.0,top
R13,165.9636,-114.9,270.0,top
R14,165.0,-114.9,270.0,top
R15,166.9796,-114.7572,270.0,bottom
R16,166.9796,-116.6368,270.0,bottom
R17,165.9636,-116.6368,270.0,bottom
R18,170.9166,-121.625,270.0,top
R19,170.75,-117.29,90.0,top
R2,170.175,-111.175,180.0,top
R20,167.6,-113.425,0.0,top
R21,169.418,-123.5202,270.0,top
R3,170.475,-104.175,180.0,top
R4,164.09,-122.29,0.0,top
R5,163.5506,-115.4684,0.0,top
R6,163.525,-116.55,0.0,bottom
R7,160.8,-123.05,90.0,bottom
R8,160.325,-121.65,180.0,bottom
R9,168.05,-114.9,90.0,top
U1,165.175,-122.025,180.0,bottom
U2,158.369,-118.6,90.0,top
U3,159.512,-117.094,90.0,bottom
U4,167.64,-119.9642,180.0,top
