Designator,Mid X,Mid Y,Layer,Rotation
C1,163.575,-116.575,top,180
C10,158.03,-120.43,bottom,0
C11,157.475,-124.4,top,90
C12,160.7,-125.275,bottom,180
C13,157.8,-110.475,bottom,180
C14,156.6672,-111.252,top,270
C15,158.496,-111.252,top,270
C16,160.3248,-111.252,top,270
C17,162.1536,-111.252,top,270
C18,163.9824,-111.252,top,270
C19,165.8112,-111.252,top,270
C2,159.85,-123.05,bottom,90
C20,167.64,-111.252,top,270
C21,161.671,-116.7892,top,90
C22,170.9166,-119.55,top,90
C23,163.83,-117.9576,top,90
C3,162,-122.54,bottom,90
C4,167.975,-122.025,bottom,90
C5,160.8074,-120.3706,top,90
C6,158.92,-115.82,top,0
C7,163.576,-112.5344,bottom,270
C8,160.475,-112.522,bottom,270
C9,157.2006,-113.0046,bottom,270
D1,167.16,-124.94,top,90
D2,170.175,-106.35,top,90
D3,170.25,-106.525,bottom,90
D4,163.7,-124.73,bottom,180
D5,165.1762,-112.5728,bottom,270
D6,162.075,-112.75,bottom,270
D7,158.9532,-112.8014,bottom,270
J4,171.225,-113.95,top,90
L1,166.275,-125.025,bottom,0
Q1,160.6616,-124.52,top,180
Q10,158.75,-107.55,bottom,0
Q2,170.225,-109.325,top,270
Q3,164.5135,-124.52,top,180
Q4,169.475,-111.85,bottom,90
Q5,166.8574,-107.55,top,180
Q6,166.8453,-107.5612,bottom,0
Q7,162.812,-107.549,top,180
Q8,162.814,-107.55,bottom,0
Q9,158.75,-107.55,top,180
R1,160.74,-122.34,top,0
R10,165.989,-114.7572,bottom,270
R11,165,-114.775,bottom,270
R12,166.925,-114.9,top,270
R13,165.9636,-114.9,top,270
R14,165,-114.9,top,270
R15,166.9796,-114.7572,bottom,270
R16,166.9796,-116.6368,bottom,270
R17,165.9636,-116.6368,bottom,270
R18,170.9166,-121.625,top,270
R19,170.75,-117.29,top,90
R2,170.175,-111.175,top,180
R20,167.6,-113.425,top,0
R21,169.418,-123.5202,top,270
R3,170.475,-104.175,top,180
R4,164.09,-122.29,top,0
R5,163.5506,-115.4684,top,0
R6,163.525,-116.55,bottom,0
R7,160.8,-123.05,bottom,90
R8,160.325,-121.65,bottom,180
R9,168.05,-114.9,top,90
U1,165.175,-122.025,bottom,0
U2,158.369,-118.6,top,270
U3,159.512,-117.094,bottom,180
U4,167.64,-119.9642,top,270
